Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,363.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,365.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,367.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,370.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,372.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,375.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,377.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,379.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,382.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,384.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,387.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,389.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,391.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,394.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,396.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,399.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,401.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,403.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,406.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,408.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,411.00000000000006,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,413.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,415.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,418.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,420.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,423.00000000000006,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,425.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,427.79999999999995,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,430.19999999999993,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,432.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,434.99999999999994,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,437.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
